item_number,date,consumption
50040800100,2022-01-01,170
50040800100,2022-01-03,172
50040800100,2022-01-05,188
50040800100,2022-01-07,228
50040800100,2022-01-09,171
50040800100,2022-01-11,152
50040800100,2022-01-13,172
50040800100,2022-01-15,194
50040800100,2022-01-17,200
50040800100,2022-01-19,178
50040800100,2022-01-21,221
50040800100,2022-01-23,233
50040800100,2022-01-25,252
50040800100,2022-01-27,227
50040800100,2022-01-29,227
50040800100,2022-02-01,108
50040800100,2022-02-03,115
50040800100,2022-02-05,170
50040800100,2022-02-07,202
50040800100,2022-02-09,208
50040800100,2022-02-11,211
50040800100,2022-02-13,162
50040800100,2022-02-15,207
50040800100,2022-02-17,177
50040800100,2022-02-19,193
50040800100,2022-02-21,107
50040800100,2022-02-23,76
50040800100,2022-02-25,112
50040800100,2022-02-27,129
50040800100,2022-03-01,149
50040800100,2022-03-03,109
50040800100,2022-03-05,118
50040800100,2022-03-07,102
50040800100,2022-03-09,132
50040800100,2022-03-11,122
50040800100,2022-03-13,129
50040800100,2022-03-15,165
50040800100,2022-03-17,131
50040800100,2022-03-19,121
50040800100,2022-03-21,125
50040800100,2022-03-23,90
50040800100,2022-03-25,84
50040800100,2022-03-26,112
50040800100,2022-03-28,70
50040800100,2022-03-30,79
50040800100,2022-04-01,158
50040800100,2022-04-03,182
50040800100,2022-04-06,113
50040800100,2022-04-08,112
50040800100,2022-04-10,52
50040800100,2022-04-12,90
50040800100,2022-04-14,48
50040800100,2022-04-19,60
50040800100,2022-04-22,31
50040800100,2022-04-26,5
50040800100,2022-04-28,81
50040800100,2022-05-02,122
50040800100,2022-05-05,137
50040800100,2022-05-07,130
50040800100,2022-05-09,125
50040800100,2022-05-11,104
50040800100,2022-05-13,158
50040800100,2022-05-16,73
50040800100,2022-05-18,62
50040800100,2022-05-20,147
50040800100,2022-05-23,87
50040800100,2022-05-25,123
50040800100,2022-05-27,40
50040800100,2022-05-30,28
50040800100,2022-06-01,134
50040800100,2022-06-04,133
50040800100,2022-06-06,143
50040800100,2022-06-08,122
50040800100,2022-06-10,122
50040800100,2022-06-12,106
50040800100,2022-06-14,128
50040800100,2022-06-16,90
50040800100,2022-06-18,119
50040800100,2022-06-20,142
50040800100,2022-06-22,84
50040800100,2022-06-24,155
50040800100,2022-06-27,42
50040800100,2022-06-29,66
50040800100,2022-07-01,170
50040800100,2022-07-03,31
50040800100,2022-07-05,90
50040800100,2022-07-07,63
50040800100,2022-07-09,49
50040800100,2022-07-11,85
